Dataset Name,Anomaly Percentage,Initial Anomaly Percentage,Resampled Anomaly Percentage,Number of Features,Model,F1 Score,ROC AUC,PR AUC,MCC,Kappa,Number of Samples,,,
Amammography.npz,10,50,10,6,OCSVM,0.496987952,0.886518738,0.560057749,0.440950599,0.427297668,11183,,,
Amammography.npz,10,50,10,6,ISOFOREST,0.531343284,0.890994412,0.630725433,0.481931515,0.465986395,11183,,,
Amammography.npz,20,50,20,6,KNN,0.649056604,0.875379068,0.70706616,0.559398789,0.559241706,11183,,,
Amammography.npz,20,50,20,6,LOF,0.590225564,0.830382766,0.610409858,0.485072172,0.484877127,11183,,,
Amammography.npz,20,50,20,6,OCSVM,0.627376426,0.886802885,0.709776567,0.532942954,0.532888465,11183,,,
Amammography.npz,20,50,20,6,ISOFOREST,0.661710037,0.891913831,0.752562905,0.574081538,0.573570759,11183,,,
Amammography.npz,30,50,30.02309469,6,KNN,0.700404858,0.874019421,0.782640264,0.582898833,0.581319988,11183,,,
Amammography.npz,30,50,30.02309469,6,LOF,0.636734694,0.832625666,0.703433447,0.495971183,0.494165518,11183,,,
Amammography.npz,30,50,30.02309469,6,OCSVM,0.688935282,0.886300457,0.784530774,0.575239496,0.571221597,11183,,,
Amammography.npz,30,50,30.02309469,6,ISOFOREST,0.72244898,0.883584031,0.785912418,0.615761503,0.613519722,11183,,,
Amammography.npz,40,50,40,6,KNN,0.719334719,0.866449704,0.826153117,0.560841264,0.556213018,11183,,,
Amammography.npz,40,50,40,6,LOF,0.66098081,0.817366864,0.757595878,0.480065121,0.473161034,11183,,,
Amammography.npz,40,50,40,6,OCSVM,0.709677419,0.877455621,0.825284719,0.56093887,0.551495017,11183,,,
Amammography.npz,40,50,40,6,ISOFOREST,0.72651357,0.872830375,0.83289166,0.57404697,0.56879526,11183,,,
Amnist.npz,20,50,20,100,ABOD,0.762467192,0.948820408,0.829600663,0.700705335,0.696918955,7603,,,
Amnist.npz,20,50,20,100,KNN,0.765056254,0.947135204,0.813749566,0.703912481,0.700825889,7603,,,
Amnist.npz,20,50,20,100,LOF,0.74025974,0.934345408,0.771176988,0.672334815,0.667774086,7603,,,
Amnist.npz,20,50,20,100,OCSVM,0.710666667,0.91323699,0.732134731,0.634485885,0.63220339,7603,,,
Amnist.npz,20,50,20,100,ISOFOREST,0.516228748,0.847970408,0.55421025,0.409488065,0.407421431,7603,,,
Amnist.npz,30,50,30.00428633,100,ABOD,0.82967033,0.948993964,0.889936132,0.753755085,0.752577778,7603,,,
Amnist.npz,30,50,30.00428633,100,KNN,0.81486676,0.947096492,0.878150178,0.733677171,0.733424282,7603,,,
Amnist.npz,30,50,30.00428633,100,LOF,0.80334728,0.932996238,0.853922498,0.716585315,0.7161656,7603,,,
Amnist.npz,30,50,30.00428633,100,OCSVM,0.764204545,0.913654973,0.814842744,0.662328177,0.662306249,7603,,,
Amnist.npz,30,50,30.00428633,100,ISOFOREST,0.590682196,0.863807191,0.708653964,0.465170073,0.453792733,7603,,,
Amnist.npz,40,50,40,100,ABOD,0.846208363,0.944447619,0.919086532,0.742404813,0.742341487,7603,,,
Amnist.npz,40,50,40,100,KNN,0.839738941,0.94509932,0.912766646,0.735814971,0.735582675,7603,,,
Amnist.npz,40,50,40,100,LOF,0.837074584,0.930621769,0.89418246,0.731114371,0.730925616,7603,,,
Amnist.npz,40,50,40,100,OCSVM,0.791758646,0.908967347,0.859422364,0.660576932,0.659773984,7603,,,
Amnist.npz,40,50,40,100,ISOFOREST,0.624787776,0.866055782,0.785475317,0.462827479,0.444444444,7603,,,
Amusk.npz,10,50,10.01031992,166,ABOD,0.683098592,1,1,0.682040553,0.634979365,3062,,,
Amusk.npz,10,50,10.01031992,166,KNN,0.648829431,1,1,0.649904616,0.593902045,3062,,,
Amusk.npz,10,50,10.01031992,166,LOF,0.675958188,1,1,0.675335459,0.626447192,3062,,,
Amusk.npz,10,50,10.01031992,166,OCSVM,0.662116041,1,1,0.662352738,0.609866893,3062,,,
Amusk.npz,10,50,10.01031992,166,ISOFOREST,0.651006711,0.978530218,0.758283282,0.65194387,0.596521572,3062,,,
Amusk.npz,20,50,20,166,ABOD,0.825531915,1,1,0.792857609,0.771968854,3062,,,
Amusk.npz,20,50,20,166,KNN,0.836206897,1,1,0.805076486,0.786516854,3062,,,
Amusk.npz,20,50,20,166,LOF,0.832618026,1,1,0.800964492,0.781634938,3062,,,
Amusk.npz,20,50,20,166,OCSVM,0.832618026,1,1,0.800964492,0.781634938,3062,,,
Amusk.npz,20,50,20,166,ISOFOREST,0.81512605,0.960303964,0.742744857,0.780979563,0.757709251,3062,,,
Amusk.npz,30,50,30.03095975,166,ABOD,0.889908257,1,1,0.846475996,0.834853004,3062,,,
Amusk.npz,30,50,30.03095975,166,KNN,0.885844749,1,1,0.840910472,0.828443349,3062,,,
Amusk.npz,30,50,30.03095975,166,LOF,0.877828054,1,1,0.829941236,0.815728865,3062,,,
Amusk.npz,30,50,30.03095975,166,OCSVM,0.866071429,1,1,0.813875214,0.796914952,3062,,,
Amusk.npz,30,50,30.03095975,166,ISOFOREST,0.869955157,0.990055652,0.97570694,0.819180278,0.803152254,3062,,,
Amusk.npz,40,50,40.08264463,166,ABOD,0.941747573,1,1,0.903471459,0.89883648,3062,,,
Amusk.npz,40,50,40.08264463,166,KNN,0.923809524,1,1,0.873891468,0.866011489,3062,,,
Amusk.npz,40,50,40.08264463,166,LOF,0.91943128,1,1,0.86667132,0.857873281,3062,,,
Amusk.npz,40,50,40.08264463,166,OCSVM,0.898148148,1,1,0.83153578,0.817583773,3062,,,
Amusk.npz,40,50,40.08264463,166,ISOFOREST,0.906542056,0.985424813,0.974009507,0.845403306,0.833619801,3062,,,
Aoptdigits.npz,10,50,10,64,ABOD,0.613065327,0.946745679,0.605191076,0.5814562,0.557979334,5216,,,
Aoptdigits.npz,10,50,10,64,KNN,0.71291866,0.960587654,0.541700366,0.708887307,0.670691548,5216,,,
Aoptdigits.npz,10,50,10,64,LOF,0.709219858,0.98597037,0.749681833,0.70667496,0.666123779,5216,,,
Aoptdigits.npz,10,50,10,64,OCSVM,0.028985507,0.634434568,0.122085955,-0.068896722,-0.068580542,5216,,,
Aoptdigits.npz,10,50,10,64,ISOFOREST,0.412256267,0.856246914,0.295021885,0.340750893,0.33480454,5216,,,
Aoptdigits.npz,20,50,20,64,ABOD,0.770149254,0.953355556,0.788251403,0.711406367,0.704980843,5216,,,
Aoptdigits.npz,20,50,20,64,KNN,0.842696629,0.963533333,0.728082127,0.812523338,0.795321637,5216,,,
Aoptdigits.npz,20,50,20,64,LOF,0.833333333,0.9845,0.841758324,0.801783726,0.782608696,5216,,,
Aoptdigits.npz,20,50,20,64,OCSVM,0.037037037,0.636488889,0.235596197,-0.108249978,-0.097046414,5216,,,
Aoptdigits.npz,20,50,20,64,ISOFOREST,0.549828179,0.8708,0.499660862,0.441928048,0.441602728,5216,,,
Aoptdigits.npz,30,50,30,64,ABOD,0.829581994,0.955219048,0.878166789,0.753791265,0.752798507,5216,,,
Aoptdigits.npz,30,50,30,64,KNN,0.917431193,0.971142857,0.838057466,0.884354185,0.877717391,5216,,,
Aoptdigits.npz,30,50,30,64,LOF,0.892857143,0.985219048,0.897925964,0.850589386,0.839572193,5216,,,
Aoptdigits.npz,30,50,30,64,OCSVM,0.043715847,0.657828571,0.357875733,-0.103711509,-0.072303922,5216,,,
Aoptdigits.npz,30,50,30,64,ISOFOREST,0.644194757,0.890133333,0.68590332,0.524705742,0.517276423,5216,,,
Aoptdigits.npz,40,50,40,64,ABOD,0.869565217,0.952918519,0.905150215,0.783104437,0.783092325,5216,,,
Aoptdigits.npz,40,50,40,64,KNN,0.934579439,0.962311111,0.849215727,0.891808072,0.885993485,5216,,,
Aoptdigits.npz,40,50,40,64,LOF,0.925925926,0.977777778,0.899731864,0.877561931,0.87012987,5216,,,
Aoptdigits.npz,40,50,40,64,OCSVM,0.046242775,0.653155556,0.455918176,-0.117967526,-0.067270375,5216,,,
Aoptdigits.npz,40,50,40,64,ISOFOREST,0.74906367,0.913155556,0.816631803,0.625033403,0.61361015,5216,,,
Apendigits.npz,10,50,10,16,ABOD,0.656842105,0.996931843,0.962160204,0.657459938,0.603599222,6870,,,
Apendigits.npz,10,50,10,16,KNN,0.662420382,0.999169041,0.993104718,0.662686532,0.610294118,6870,,,
Apendigits.npz,10,50,10,16,LOF,0.661016949,0.993941303,0.93740554,0.661371375,0.608610568,6870,,,
Apendigits.npz,10,50,10,16,OCSVM,0.618336887,0.956397472,0.636480087,0.606643871,0.559547244,6870,,,
Apendigits.npz,10,50,10,16,ISOFOREST,0.618852459,0.961648039,0.651099403,0.614972663,0.558823529,6870,,,
Apendigits.npz,20,50,20,16,ABOD,0.818897638,0.996455868,0.977275672,0.785281266,0.762886598,6870,,,
Apendigits.npz,20,50,20,16,KNN,0.8125,0.999034352,0.995930938,0.777986605,0.754098361,6870,,,
Apendigits.npz,20,50,20,16,LOF,0.793733681,0.989634698,0.956390643,0.752179892,0.729637235,6870,,,
Apendigits.npz,20,50,20,16,OCSVM,0.760638298,0.951316979,0.754681193,0.705131067,0.6875,6870,,,
Apendigits.npz,20,50,20,16,ISOFOREST,0.772378517,0.94038667,0.714331513,0.726509279,0.7003367,6870,,,
Apendigits.npz,30,50,30,16,ABOD,0.896551724,0.995667794,0.983722805,0.855653468,0.845360825,6870,,,
Apendigits.npz,30,50,30,16,KNN,0.896551724,0.998767258,0.99674732,0.855653468,0.845360825,6870,,,
Apendigits.npz,30,50,30,16,LOF,0.873563218,0.987725416,0.97337473,0.820870807,0.810996564,6870,,,
Apendigits.npz,30,50,30,16,OCSVM,0.831395349,0.954001127,0.85313608,0.756415254,0.749134948,6870,,,
Apendigits.npz,30,50,30,16,ISOFOREST,0.868347339,0.957664131,0.854680304,0.816106734,0.801184433,6870,,,
Apendigits.npz,40,50,40.10282776,16,ABOD,0.931343284,0.994360075,0.985362904,0.886272901,0.879852821,6870,,,
Apendigits.npz,40,50,40.10282776,16,KNN,0.923076923,0.998266755,0.996963313,0.87263739,0.864601462,6870,,,
Apendigits.npz,40,50,40.10282776,16,LOF,0.931343284,0.996781116,0.992322836,0.886272901,0.879852821,6870,,,
Apendigits.npz,40,50,40.10282776,16,OCSVM,0.866666667,0.953477495,0.912455222,0.772416631,0.768958721,6870,,,
Apendigits.npz,40,50,40.10282776,16,ISOFOREST,0.813664596,0.925965665,0.859687191,0.683260507,0.682302017,6870,,,
Asatimage-2.npz,10,50,10,36,ABOD,0.689320388,0.997729727,0.98553636,0.68793243,0.642458101,5803,,,
Asatimage-2.npz,10,50,10,36,KNN,0.682692308,0.999316714,0.99461828,0.681703891,0.634551495,5803,,,
Asatimage-2.npz,10,50,10,36,LOF,0.638888889,0.994004717,0.96991877,0.634697843,0.582887701,5803,,,
Asatimage-2.npz,10,50,10,36,OCSVM,0.7,0.997112566,0.986759093,0.695235488,0.655568312,5803,,,
Asatimage-2.npz,10,50,10,36,ISOFOREST,0.69,0.995812118,0.97991442,0.683059735,0.644087256,5803,,,
Asatimage-2.npz,20,50,20,36,ABOD,0.845238095,0.9977683,0.99242451,0.815443716,0.79876161,5803,,,
Asatimage-2.npz,20,50,20,36,KNN,0.820809249,0.9992561,0.997092011,0.78746304,0.765506808,5803,,,
Asatimage-2.npz,20,50,20,36,LOF,0.793103448,0.994098393,0.982445312,0.751045914,0.728915663,5803,,,
Asatimage-2.npz,20,50,20,36,OCSVM,0.833333333,0.996925213,0.991513188,0.799640543,0.783281734,5803,,,
